Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Russia,2022.1324757348948,Phishing,Retail,403.0,407.0,Hacker Group,Weak Passwords,Encryption,388.0
Japan,2020.815386239996,Phishing,Healthcare,349.0,354.0,Hacker Group,Unknown,VPN,389.0
India,,Phishing,Retail,287.0,318.0,Nation-state,Weak Passwords,Firewall,315.0
Russia,2017.9946105879776,Malware,Healthcare,,318.0,Unknown,Social Engineering,Encryption,342.0
Unknown,2021.874244381957,Ransomware,Retail,350.0,415.0,Unknown,Unpatched Software,AI-based Detection,273.0
Australia,,Ransomware,Healthcare,,318.0,Nation-state,Social Engineering,Antivirus,289.0
Germany,2017.106058598948,Phishing,Retail,346.0,326.0,Nation-state,Zero-day,AI-based Detection,501.0
Japan,2017.1409529792395,Phishing,Healthcare,255.0,276.0,Nation-state,Social Engineering,Encryption,397.0
France,2016.931090318037,Malware,Education,141.0,234.0,Nation-state,Unpatched Software,AI-based Detection,250.0
Brazil,2018.0318264512769,Phishing,Unknown,237.0,265.0,Hacker Group,Social Engineering,Antivirus,355.0
Unknown,2018.9001022142304,Man-in-the-Middle,Education,269.0,328.0,Unknown,Zero-day,AI-based Detection,313.0
USA,2022.912712148629,Malware,Telecommunications,283.0,310.0,Nation-state,Zero-day,Firewall,283.0
France,2016.9354431173383,DDoS,Telecommunications,161.0,245.0,Unknown,Unpatched Software,Encryption,267.0
Russia,2023.0224874406124,SQL Injection,Telecommunications,424.0,448.0,Nation-state,Unpatched Software,AI-based Detection,328.0
Unknown,2016.023979032596,Man-in-the-Middle,Unknown,93.0,189.0,Hacker Group,Social Engineering,AI-based Detection,243.0
UK,2017.1196678990143,SQL Injection,Banking,229.0,243.0,Nation-state,Social Engineering,AI-based Detection,388.0
Russia,2023.982715551045,Ransomware,Banking,395.0,428.0,Insider,Zero-day,VPN,308.0
Unknown,2018.030009107621,Man-in-the-Middle,Healthcare,287.0,318.0,Insider,Zero-day,AI-based Detection,342.0
Unknown,2020.81881120128,SQL Injection,Education,249.0,287.0,Hacker Group,Weak Passwords,Antivirus,280.0
Russia,2019.970533797976,DDoS,Healthcare,342.0,332.0,Insider,Zero-day,Antivirus,435.0
Germany,2014.8173004961416,Malware,Healthcare,168.0,200.0,Nation-state,Weak Passwords,Antivirus,394.0
Japan,,DDoS,Banking,287.0,318.0,Hacker Group,Zero-day,Encryption,387.0
Russia,,Malware,Education,287.0,318.0,Unknown,Zero-day,Firewall,219.0
Russia,2021.7989194191164,Man-in-the-Middle,Healthcare,239.0,330.0,Insider,Social Engineering,AI-based Detection,197.0
China,2015.9175742133352,Phishing,IT,241.0,265.0,Unknown,Zero-day,VPN,411.0
India,2019.1275573316657,DDoS,Banking,287.0,318.0,Unknown,Unpatched Software,AI-based Detection,342.0
Russia,2023.9379889054765,Ransomware,Banking,287.0,468.0,Insider,Unpatched Software,Firewall,342.0
Germany,2024.071445919783,Ransomware,Education,384.0,422.0,Insider,,Firewall,305.0
Germany,2016.0823009975545,Unknown,Education,,,Unknown,Weak Passwords,AI-based Detection,
Japan,2015.050849778196,SQL Injection,Banking,180.0,208.0,Unknown,Zero-day,AI-based Detection,403.0
India,2018.826457684729,DDoS,Telecommunications,184.0,296.0,Insider,Social Engineering,VPN,204.0
Australia,2019.0468684095715,Phishing,Education,313.0,369.0,Insider,Social Engineering,Antivirus,336.0
China,2016.8928728004528,Malware,IT,202.0,265.0,Hacker Group,Weak Passwords,Firewall,321.0
Brazil,2017.9031507514271,Phishing,Unknown,113.0,203.0,Insider,Zero-day,Encryption,223.0
UK,2016.9462039010448,DDoS,Government,243.0,262.0,Nation-state,Zero-day,Antivirus,403.0
Brazil,2019.9012631408289,Man-in-the-Middle,Unknown,288.0,327.0,Nation-state,Zero-day,VPN,344.0
UK,2021.16886953658,DDoS,Banking,237.0,287.0,Nation-state,Unpatched Software,Firewall,263.0
Russia,2022.9848003720383,SQL Injection,Education,300.0,276.0,Nation-state,Weak Passwords,Antivirus,369.0
Japan,2023.0401546352616,Man-in-the-Middle,Healthcare,420.0,435.0,Nation-state,Weak Passwords,VPN,369.0
Brazil,2017.858797385392,,Healthcare,253.0,291.0,Insider,Weak Passwords,Unknown,349.0
Brazil,2016.0847698439648,Man-in-the-Middle,Unknown,142.0,218.0,Unknown,Social Engineering,AI-based Detection,292.0
UK,,DDoS,Government,287.0,318.0,Nation-state,Unpatched Software,AI-based Detection,339.0
France,2021.093679861196,Malware,IT,284.0,352.0,Nation-state,Social Engineering,Antivirus,266.0
India,2021.882613053648,Malware,Healthcare,335.0,357.0,Insider,Unpatched Software,Antivirus,341.0
France,2017.9146335197893,Phishing,Banking,237.0,241.0,Nation-state,Zero-day,Antivirus,386.0
Germany,2017.1479005425767,DDoS,Telecommunications,242.0,267.0,Insider,Weak Passwords,Antivirus,381.0
Brazil,2018.0525517528488,SQL Injection,IT,301.0,350.0,Insider,Social Engineering,Encryption,347.0
Russia,2015.3916359261,SQL Injection,Education,225.0,272.0,Unknown,Weak Passwords,Antivirus,364.0
Brazil,2017.1555088409816,Ransomware,IT,252.0,297.0,Hacker Group,Unpatched Software,Encryption,354.0
Brazil,2021.1424791809088,Man-in-the-Middle,IT,400.0,410.0,Unknown,Weak Passwords,Antivirus,420.0
Russia,2021.9745011167663,Phishing,Unknown,350.0,400.0,Nation-state,Weak Passwords,VPN,295.0
Germany,2020.033022095268,Phishing,Retail,320.0,324.0,Unknown,Weak Passwords,VPN,395.0
India,2023.0880733326444,Ransomware,Telecommunications,352.0,396.0,Hacker Group,Weak Passwords,AI-based Detection,289.0
France,2019.972017101202,SQL Injection,IT,336.0,294.0,Unknown,Social Engineering,Antivirus,455.0
Germany,2015.0221911257831,Phishing,Banking,243.0,305.0,Unknown,Social Engineering,VPN,369.0
Brazil,2016.1018227945808,SQL Injection,Telecommunications,182.0,251.0,Unknown,Zero-day,Antivirus,325.0
France,2022.179456442511,SQL Injection,Healthcare,,318.0,Hacker Group,Social Engineering,Encryption,342.0
Unknown,2021.0830643524712,SQL Injection,IT,412.0,378.0,Hacker Group,Unknown,Encryption,457.0
France,2015.8947654150325,Ransomware,IT,221.0,269.0,Hacker Group,Social Engineering,Antivirus,355.0
Unknown,2024.1062455696965,DDoS,Banking,474.0,454.0,Unknown,Social Engineering,AI-based Detection,418.0
India,2016.9047793873888,Malware,Telecommunications,287.0,318.0,Nation-state,Weak Passwords,AI-based Detection,342.0
Australia,2019.3424518190325,Phishing,Banking,337.0,386.0,Insider,Social Engineering,Antivirus,340.0
UK,2021.654227737229,Ransomware,Healthcare,,318.0,Hacker Group,Zero-day,Antivirus,342.0
India,2024.020187825842,Malware,Retail,353.0,349.0,Insider,Zero-day,AI-based Detection,328.0
USA,2018.248869438219,Malware,Government,258.0,302.0,Hacker Group,Zero-day,AI-based Detection,327.0
Japan,2015.9474145575384,SQL Injection,Telecommunications,168.0,205.0,Unknown,Unpatched Software,Antivirus,350.0
India,2021.852248390249,SQL Injection,IT,287.0,350.0,Hacker Group,Zero-day,VPN,249.0
China,2022.024054412221,Malware,Banking,406.0,345.0,Insider,Social Engineering,Unknown,477.0
Japan,2024.043512116914,Man-in-the-Middle,Healthcare,303.0,365.0,Insider,Social Engineering,VPN,230.0
Unknown,2023.1805883902805,SQL Injection,Telecommunications,388.0,390.0,Unknown,Zero-day,Encryption,362.0
Australia,2018.1946789983328,DDoS,Education,186.0,190.0,Unknown,Social Engineering,Antivirus,374.0
Australia,2021.108120621168,Malware,Banking,394.0,363.0,Nation-state,Weak Passwords,Unknown,451.0
Germany,2024.0228146107324,Malware,Government,287.0,391.0,Unknown,Unknown,Antivirus,
China,2016.1146135716087,Man-in-the-Middle,Banking,55.0,152.0,Insider,Weak Passwords,Encryption,225.0
Japan,2015.1887442197003,Malware,Education,315.0,311.0,Insider,Unpatched Software,Firewall,507.0
India,2022.8599259143243,Malware,IT,299.0,333.0,Insider,Weak Passwords,VPN,283.0
UK,2020.907288400163,Malware,Government,342.0,367.0,Nation-state,Weak Passwords,VPN,358.0
USA,2023.2033843173504,Ransomware,Unknown,250.0,318.0,Insider,Zero-day,AI-based Detection,185.0
UK,2016.88801054884,Phishing,Banking,155.0,238.0,Hacker Group,Social Engineering,Antivirus,264.0
India,2020.896637334087,Man-in-the-Middle,Retail,378.0,339.0,Insider,Weak Passwords,Firewall,468.0
Brazil,2024.1215641324493,Ransomware,Government,420.0,439.0,Nation-state,Unpatched Software,Firewall,332.0
France,2017.0934057999111,DDoS,IT,247.0,262.0,Nation-state,Weak Passwords,VPN,388.0
Russia,2015.9357544803509,Ransomware,Government,251.0,254.0,Unknown,Unpatched Software,AI-based Detection,436.0
Brazil,2018.8814836133351,SQL Injection,Education,275.0,294.0,Unknown,Zero-day,Encryption,365.0
France,2016.2643802401308,SQL Injection,Government,251.0,239.0,Hacker Group,Weak Passwords,VPN,448.0
Brazil,2017.8912628930896,DDoS,Telecommunications,262.0,274.0,Nation-state,Weak Passwords,Firewall,379.0
China,2023.949576868053,DDoS,Healthcare,442.0,463.0,Unknown,Zero-day,Firewall,343.0
UK,2017.1043492742551,DDoS,Healthcare,286.0,336.0,Hacker Group,Weak Passwords,AI-based Detection,374.0
France,2019.8283445165328,SQL Injection,Retail,373.0,368.0,Nation-state,Unpatched Software,Antivirus,414.0
France,2017.9389753583685,SQL Injection,Government,230.0,222.0,Unknown,Weak Passwords,Firewall,409.0
Brazil,2023.16233724682,Man-in-the-Middle,Unknown,416.0,417.0,Hacker Group,Weak Passwords,Antivirus,363.0
Brazil,,Ransomware,Government,287.0,318.0,Unknown,Social Engineering,Antivirus,488.0
India,2014.9865786785565,Unknown,Unknown,138.0,173.0,Insider,Social Engineering,AI-based Detection,364.0
Brazil,2016.9817304415697,Malware,IT,255.0,315.0,Nation-state,Zero-day,Firewall,326.0
USA,2017.105969181296,Malware,Unknown,157.0,277.0,Insider,Weak Passwords,VPN,211.0
Germany,2021.8351132149423,SQL Injection,Telecommunications,390.0,369.0,Hacker Group,Zero-day,Firewall,428.0
China,2015.165999978807,Ransomware,Telecommunications,192.0,223.0,Insider,Social Engineering,Antivirus,403.0
Unknown,2018.405617371812,Malware,Banking,268.0,339.0,Unknown,Social Engineering,Firewall,321.0
Germany,2023.077921362316,SQL Injection,Banking,439.0,451.0,Insider,Social Engineering,Firewall,360.0
Japan,2014.7357143612376,DDoS,Government,77.0,178.0,Hacker Group,Unpatched Software,VPN,249.0
France,2019.91151562688,SQL Injection,Education,266.0,323.0,Hacker Group,Weak Passwords,AI-based Detection,285.0
Russia,2019.796532948764,Man-in-the-Middle,Unknown,226.0,255.0,Unknown,Weak Passwords,VPN,310.0
USA,2020.1058403172176,Unknown,Government,344.0,296.0,Insider,Social Engineering,VPN,468.0
Russia,2020.1207045779463,Phishing,Education,287.0,375.0,Unknown,Social Engineering,VPN,
Germany,2017.800132871524,SQL Injection,Education,287.0,268.0,Nation-state,Zero-day,Firewall,342.0
China,2018.273219297677,Ransomware,Retail,93.0,149.0,Hacker Group,Social Engineering,Antivirus,241.0
UK,2017.8999336482905,Man-in-the-Middle,Healthcare,224.0,281.0,Insider,Unpatched Software,VPN,324.0
Australia,2022.74790108735,Man-in-the-Middle,Retail,436.0,441.0,Nation-state,Unpatched Software,Antivirus,385.0
UK,2014.8616440620112,Ransomware,Banking,109.0,212.0,Hacker Group,Zero-day,AI-based Detection,248.0
UK,2015.9628909391256,Phishing,Education,287.0,182.0,Insider,Unpatched Software,Encryption,
Australia,2020.0276527988244,Phishing,Government,139.0,237.0,Insider,Unpatched Software,Firewall,178.0
USA,2018.075342965525,SQL Injection,Banking,163.0,275.0,Nation-state,Weak Passwords,Antivirus,209.0
Japan,2020.016376970805,Ransomware,Banking,244.0,316.0,Unknown,Zero-day,Encryption,275.0
Germany,2019.146422704384,Malware,Banking,358.0,372.0,Hacker Group,Zero-day,VPN,414.0
Japan,2022.007964777977,Man-in-the-Middle,Retail,390.0,397.0,Hacker Group,Social Engineering,Antivirus,377.0
India,2024.2615268978248,Man-in-the-Middle,Government,379.0,396.0,Insider,Zero-day,VPN,284.0
France,2022.991248009922,Phishing,Education,383.0,407.0,Nation-state,Zero-day,Encryption,315.0
UK,2014.9899218877867,Man-in-the-Middle,Healthcare,106.0,160.0,Insider,Weak Passwords,Encryption,336.0
USA,2018.8382218730744,Malware,Government,203.0,247.0,Insider,Zero-day,VPN,320.0
Japan,2023.950579387756,Phishing,Education,380.0,416.0,Unknown,Weak Passwords,AI-based Detection,291.0
UK,2020.7512137045376,Unknown,Healthcare,342.0,327.0,Hacker Group,Unpatched Software,Unknown,402.0
UK,2023.688639102297,Man-in-the-Middle,Retail,327.0,340.0,Nation-state,Social Engineering,Firewall,294.0
France,2022.023499141376,Man-in-the-Middle,IT,372.0,373.0,Hacker Group,Unpatched Software,AI-based Detection,394.0
UK,2020.3019257767853,Phishing,Retail,466.0,401.0,Nation-state,Zero-day,VPN,543.0
UK,2023.896587835861,DDoS,Retail,404.0,419.0,Insider,Zero-day,Antivirus,322.0
India,2015.113612426684,Phishing,Retail,112.0,171.0,Unknown,Zero-day,Encryption,315.0
Russia,2017.7233410960887,DDoS,Telecommunications,240.0,310.0,Unknown,Zero-day,VPN,311.0
UK,2023.7900055828047,Phishing,Retail,428.0,430.0,Unknown,Weak Passwords,Unknown,346.0
Germany,2023.080773002108,Unknown,Government,463.0,461.0,Unknown,Social Engineering,Antivirus,396.0
Unknown,2014.865295484611,SQL Injection,Education,191.0,225.0,Insider,Weak Passwords,VPN,399.0
Unknown,2023.8656052112008,Ransomware,Retail,,318.0,Unknown,Social Engineering,Firewall,342.0
Brazil,2016.0658449562648,Unknown,Healthcare,155.0,256.0,Nation-state,Zero-day,Firewall,252.0
Australia,2016.2949925772643,Malware,Retail,138.0,225.0,Unknown,Social Engineering,Antivirus,264.0
Brazil,2020.779453991875,SQL Injection,Telecommunications,401.0,389.0,Unknown,Weak Passwords,Antivirus,435.0
Germany,2016.7382924611345,Man-in-the-Middle,Retail,232.0,290.0,Hacker Group,Unpatched Software,VPN,319.0
Germany,2021.9676950866244,Man-in-the-Middle,IT,442.0,416.0,Insider,Unknown,AI-based Detection,471.0
,2020.9278754354427,Ransomware,Retail,396.0,374.0,Unknown,Unpatched Software,Antivirus,456.0
Japan,2021.913294725105,DDoS,Retail,250.0,283.0,Nation-state,Social Engineering,AI-based Detection,282.0
Brazil,2021.8827991643263,Phishing,Banking,407.0,403.0,Hacker Group,Social Engineering,AI-based Detection,416.0
Australia,2016.2525118962865,SQL Injection,Banking,70.0,143.0,Hacker Group,Weak Passwords,AI-based Detection,264.0
UK,2020.7583124916644,Unknown,Healthcare,273.0,305.0,Unknown,Unpatched Software,Firewall,315.0
Unknown,2014.7835911967427,SQL Injection,Retail,64.0,178.0,Unknown,Weak Passwords,AI-based Detection,229.0
India,2019.1517475580804,Ransomware,Telecommunications,249.0,282.0,Unknown,Social Engineering,AI-based Detection,347.0
Brazil,2016.970089970584,Phishing,Healthcare,203.0,240.0,Hacker Group,Weak Passwords,VPN,367.0
Japan,2023.8577875648125,Man-in-the-Middle,Retail,484.0,445.0,Insider,Unpatched Software,AI-based Detection,455.0
India,2018.9614373834768,DDoS,Telecommunications,363.0,338.0,Unknown,Zero-day,Antivirus,464.0
Brazil,2024.175222313558,SQL Injection,Unknown,517.0,475.0,Unknown,Weak Passwords,Antivirus,455.0
Russia,2024.0113690478768,Man-in-the-Middle,IT,364.0,368.0,Unknown,Unpatched Software,VPN,325.0
China,2022.1345514987067,Man-in-the-Middle,IT,271.0,363.0,Unknown,Weak Passwords,Antivirus,192.0
Japan,2017.0039436817967,Man-in-the-Middle,Banking,275.0,305.0,Nation-state,Unpatched Software,AI-based Detection,382.0
UK,2021.8818137625124,Phishing,Government,297.0,341.0,Unknown,Zero-day,Antivirus,273.0
Russia,2018.1768521498057,Man-in-the-Middle,Telecommunications,337.0,348.0,Insider,Zero-day,AI-based Detection,436.0
Germany,2018.850990596036,Phishing,Healthcare,321.0,348.0,Hacker Group,Weak Passwords,AI-based Detection,389.0
China,2018.018308382204,Malware,Education,296.0,352.0,Insider,Social Engineering,VPN,346.0
Germany,2015.9129809102824,SQL Injection,Education,135.0,214.0,Nation-state,Social Engineering,Antivirus,277.0
Australia,2015.7670425601264,Malware,Telecommunications,294.0,264.0,Unknown,Zero-day,Encryption,506.0
Unknown,2018.077172842304,SQL Injection,Government,320.0,298.0,Unknown,Social Engineering,Firewall,453.0
France,2023.011097753304,SQL Injection,Healthcare,417.0,413.0,Unknown,Zero-day,Firewall,369.0
UK,2020.4455763406247,Phishing,Healthcare,287.0,318.0,Unknown,Weak Passwords,Encryption,342.0
Australia,2021.1834981487057,Man-in-the-Middle,Healthcare,279.0,376.0,Unknown,Social Engineering,AI-based Detection,217.0
Germany,2021.905134109257,SQL Injection,IT,413.0,383.0,Hacker Group,Zero-day,AI-based Detection,443.0
China,2015.8330480410632,Unknown,IT,309.0,288.0,Nation-state,Zero-day,AI-based Detection,506.0
China,2023.836490603664,DDoS,Unknown,422.0,415.0,Hacker Group,Unpatched Software,Firewall,371.0
Germany,2022.109005204948,SQL Injection,Education,320.0,345.0,Nation-state,Zero-day,Firewall,316.0
India,2022.881951441675,SQL Injection,Retail,316.0,331.0,Nation-state,Weak Passwords,AI-based Detection,308.0
UK,2019.8447405752568,Unknown,Government,287.0,318.0,Unknown,Zero-day,Encryption,301.0
Japan,2020.0847495356809,DDoS,Healthcare,201.0,265.0,Insider,Unpatched Software,Firewall,246.0
Australia,2015.9079650929964,SQL Injection,,247.0,285.0,Nation-state,Unknown,Antivirus,404.0
China,2023.941736760584,Phishing,Telecommunications,287.0,413.0,Hacker Group,Unpatched Software,Encryption,342.0
Japan,2024.172315105074,Unknown,IT,325.0,355.0,Unknown,Weak Passwords,VPN,269.0
Japan,2017.249196801203,Man-in-the-Middle,Healthcare,154.0,221.0,Insider,Social Engineering,Firewall,276.0
India,2023.0181401107548,DDoS,Education,308.0,318.0,Hacker Group,Weak Passwords,Encryption,316.0
USA,2016.8587780151809,Man-in-the-Middle,IT,287.0,221.0,Unknown,Unpatched Software,AI-based Detection,
UK,2017.1851880411923,SQL Injection,Government,345.0,334.0,Insider,Weak Passwords,Antivirus,485.0
UK,2022.7429156535693,Malware,Banking,290.0,377.0,Unknown,Unpatched Software,VPN,198.0
China,2021.988011749797,Man-in-the-Middle,Banking,473.0,426.0,Unknown,Social Engineering,Encryption,492.0
France,2021.9068629884528,DDoS,Healthcare,408.0,399.0,Insider,Social Engineering,Encryption,423.0
UK,2021.0418588404648,Phishing,Retail,369.0,379.0,Nation-state,Zero-day,Antivirus,381.0
India,2023.170149446525,Ransomware,Education,369.0,419.0,Unknown,Unpatched Software,Firewall,267.0
France,2019.249570494013,Malware,Healthcare,233.0,288.0,Nation-state,Weak Passwords,Antivirus,265.0
Brazil,2022.8615733243253,SQL Injection,Healthcare,396.0,382.0,Insider,Unpatched Software,Antivirus,397.0
Brazil,2021.9072999964249,Phishing,Banking,406.0,390.0,Insider,Unpatched Software,Unknown,411.0
China,2014.8729627497053,Ransomware,IT,254.0,264.0,Nation-state,Social Engineering,VPN,456.0
France,2016.417896641913,DDoS,Government,147.0,179.0,Unknown,Weak Passwords,VPN,344.0
Australia,2022.9785860534391,Malware,Healthcare,287.0,282.0,Unknown,Unpatched Software,AI-based Detection,332.0
USA,2016.116217835296,SQL Injection,Government,265.0,271.0,Unknown,Weak Passwords,AI-based Detection,436.0
Unknown,2016.9869862641272,DDoS,Government,151.0,203.0,Unknown,Zero-day,VPN,300.0
France,2017.7616861002657,Ransomware,Unknown,260.0,231.0,Hacker Group,Zero-day,AI-based Detection,456.0
Brazil,2023.8719689877496,DDoS,Telecommunications,431.0,421.0,Unknown,Social Engineering,VPN,405.0
UK,2021.0807058547464,Ransomware,Banking,341.0,341.0,Unknown,Unpatched Software,Firewall,389.0
Russia,2018.9409078256583,,Banking,324.0,307.0,Insider,Zero-day,VPN,448.0
